Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Maruti Swift Dzire,2014,4.5,6.49,145500,Diesel,Individual,Manual,0
Skoda Rapid 1.5,2014,3.7,10.77,120000,Diesel,Individual,Manual,1
Honda City 2017-2020,2006,1.58,11.62,140000,Petrol,Individual,Manual,2
Hyundai i20 Sportz,2010,2.25,8.03,127000,Diesel,Individual,Manual,0
Maruti Swift VXI,2007,1.3,7.28,120000,Petrol,Individual,Manual,0
Hyundai Xcent 1.2,2017,4.4,6.04,45000,Petrol,Individual,Manual,0
Maruti Wagon R,2007,0.96,4.4,175000,CNG,Individual,Manual,0
Maruti 800 DX,2001,0.45,2.35,5000,Petrol,Individual,Manual,1
Toyota Etios VXD,2011,3.5,7.95,90000,Diesel,Individual,Manual,0
Ford Figo Diesel,2013,2.0,5.69,169000,Diesel,Individual,Manual,0
Renault Duster 110PS,2014,5.0,8.69,68000,Diesel,Individual,Manual,1
Maruti Zen LX,2005,0.92,3.57,100000,Petrol,Individual,Manual,1
Maruti Swift Dzire,2009,2.8,7.43,140000,Diesel,Individual,Manual,1
Maruti Swift 1.3,2007,2.0,6.18,80000,Petrol,Individual,Manual,1
Maruti Wagon R,2009,1.8,3.9,90000,Petrol,Individual,Manual,1
Mahindra KUV 100,2016,4.0,6.4,40000,Petrol,Individual,Manual,0
Maruti Ertiga SHVS,2016,7.78,10.25,70000,Diesel,Individual,Manual,1
Hyundai i20 1.4,2012,5.0,8.35,53000,Diesel,Individual,Manual,1
Maruti Alto LX,2002,1.5,3.85,80000,Petrol,Individual,Manual,1
Hyundai i20 2015-2017,2016,6.8,7.72,100000,Diesel,Individual,Manual,0
Mahindra Verito 1.5,2011,1.74,8.1,100000,Diesel,Individual,Manual,1
Honda WR-V i-DTEC,2017,9.5,8.84,50000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2015,5.25,7.86,40000,Diesel,Individual,Manual,0
Maruti SX4 ZDI,2012,6.0,9.92,72000,Diesel,Individual,Manual,0
Tata Tigor 2017-2020,2018,5.0,5.58,35000,Petrol,Individual,Manual,0
Maruti Baleno Delta,2016,5.75,6.85,45000,Petrol,Individual,Manual,0
Maruti Alto 800,2017,2.75,3.74,28000,Petrol,Individual,Manual,0
Chevrolet Enjoy TCDi,2013,3.0,6.48,70000,Diesel,Individual,Manual,0
Maruti Wagon R,2009,2.2,3.9,120000,Petrol,Individual,Manual,0
Maruti Omni E,2018,2.55,2.8,25000,Petrol,Individual,Manual,0
Maruti Vitara Brezza,2017,6.7,9.24,70000,Diesel,Individual,Manual,0
Fiat Palio 1.2,2003,0.7,5.88,50000,Petrol,Individual,Manual,1
Maruti Omni 8,2012,1.5,2.71,35000,Petrol,Individual,Manual,1
Hyundai i20 1.2,2018,7.3,7.41,2388,Petrol,Individual,Manual,0
Maruti Vitara Brezza,2017,6.5,10.32,16200,Diesel,Individual,Manual,0
Maruti Alto 800,2019,3.3,3.89,10000,CNG,Individual,Manual,1
Maruti Alto K10,2019,3.66,4.23,15000,Petrol,Individual,Manual,0
Hyundai Verna VTVT,2019,11.49,9.02,5000,Petrol,Individual,Manual,0
Datsun GO D,2016,1.5,3.99,42000,Petrol,Individual,Manual,0
Tata Safari DICOR,2011,4.25,16.57,60000,Diesel,Individual,Manual,1
Maruti 800 Std,2012,1.5,2.73,76000,Petrol,Individual,Manual,0
Jeep Compass 1.4,2019,21.0,19.21,5000,Petrol,Individual,Automatic,0
Honda City i,2018,9.25,12.08,28900,Petrol,Dealer,Manual,0
Honda City V,2013,4.25,11.04,86300,Petrol,Dealer,Manual,0
Maruti Swift Dzire,2018,6.75,7.43,23300,Petrol,Dealer,Automatic,0
Maruti Vitara Brezza,2018,8.2,10.42,32600,Diesel,Dealer,Manual,0
Maruti Alto K10,2018,3.9,4.15,10300,Petrol,Dealer,Manual,0
Toyota Fortuner 4x4,2014,15.0,28.18,77000,Diesel,Dealer,Manual,0
Toyota Innova 2.5,2013,7.0,15.75,99000,Diesel,Dealer,Manual,0
Mercedes-Benz B Class,2014,14.5,57.0,27800,Diesel,Dealer,Automatic,1
Honda Amaze S,2015,4.25,6.37,49800,Diesel,Dealer,Manual,0
Mitsubishi Pajero Sport,2013,10.9,15.6,151000,Diesel,Dealer,Manual,0
Honda City i,2015,6.0,11.85,54700,Diesel,Dealer,Manual,0
Maruti Ciaz Zeta,2018,8.5,10.04,64000,Petrol,Dealer,Manual,0
Honda Jazz VX,2015,5.25,7.95,63000,Diesel,Dealer,Manual,0
Toyota Innova Crysta,2016,16.5,15.28,127700,Diesel,Dealer,Automatic,1
Toyota Innova 2.5,2016,9.5,13.12,99000,Diesel,Dealer,Manual,0
Audi A6 2.0,2013,17.5,58.21,33900,Diesel,Dealer,Automatic,1
Toyota Corolla Altis,2018,15.9,16.1,25000,Petrol,Dealer,Automatic,0
Audi A6 2.0,2013,16.9,60.49,50000,Diesel,Dealer,Automatic,0
Mercedes-Benz New C-Class,2013,14.25,62.4,59000,Diesel,Dealer,Automatic,0
Tata Manza ELAN,2011,2.65,6.54,120000,Diesel,Individual,Manual,0
Hyundai i10 Magna,2011,1.9,5.03,110000,Petrol,Individual,Manual,2
Hyundai i20 Asta,2013,4.25,7.64,60000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2015,6.3,7.86,147000,Diesel,Individual,Manual,1
Ford Figo 1.2P,2017,6.0,6.53,25000,Petrol,Individual,Manual,2
Maruti Baleno Delta,2019,6.5,6.85,30000,Petrol,Individual,Manual,0
Volkswagen Ameo 1.5,2016,5.4,10.2,40000,Diesel,Individual,Manual,0
Honda City i,2015,6.3,11.85,135000,Diesel,Individual,Manual,0
Maruti Wagon R,2018,4.48,3.94,30000,Petrol,Individual,Automatic,0
Volkswagen Ameo 1.5,2017,5.0,9.4,80000,Diesel,Individual,Manual,0
Maruti Vitara Brezza,2016,7.45,10.42,70000,Diesel,Individual,Manual,0
Maruti Vitara Brezza,2019,10.25,10.42,9850,Diesel,Individual,Automatic,0
Hyundai i10 Magna,2011,2.35,5.03,60000,Petrol,Individual,Manual,1
Maruti Swift VDI,2016,6.3,6.53,70000,Diesel,Individual,Manual,0
Toyota Fortuner 4x4,2015,17.0,28.18,78000,Diesel,Individual,Manual,1
Maruti Swift Star,2013,4.5,7.49,120000,Diesel,Individual,Manual,1
Maruti Ertiga ZXI,2012,4.5,10.9,120000,Petrol,Individual,Manual,1
Tata Indica DLS,2003,0.5,3.68,70000,Diesel,Individual,Manual,0
Volkswagen Vento Diesel,2013,4.5,11.3,170000,Diesel,Individual,Manual,0
Toyota Innova 2.5,2016,12.0,13.56,140000,Diesel,Individual,Manual,0
Ford EcoSport 1.5,2015,6.1,9.73,90000,Diesel,Individual,Manual,0
BMW X1 sDrive20i,2016,25.0,36.95,30000,Petrol,Individual,Automatic,1
Maruti Celerio ZXI,2017,4.85,4.84,10000,Petrol,Dealer,Manual,0
Datsun GO A,2016,2.75,3.99,49000,Petrol,Dealer,Manual,0
Maruti Alto 800,2016,3.15,3.64,32000,Petrol,Dealer,Manual,0
Maruti Alto 800,2016,2.75,3.46,38000,Petrol,Dealer,Manual,0
Maruti Swift VDI,2015,4.75,6.94,78000,Diesel,Dealer,Manual,0
Hyundai i10 Era,2012,2.9,4.84,28000,Petrol,Dealer,Manual,0
Maruti Omni 8,2017,2.8,2.71,32000,Petrol,Dealer,Manual,0
Maruti Wagon R,2010,2.25,4.15,44000,CNG,Dealer,Manual,0
Volkswagen Polo 1.2,2015,4.55,6.58,42000,Petrol,Dealer,Manual,0
Hyundai i10 Magna,2015,3.51,4.89,45000,Petrol,Dealer,Manual,1
Volkswagen Vento Petrol,2012,5.35,11.41,12000,Petrol,Dealer,Manual,1
Maruti Zen Estilo,2009,1.75,3.5,55500,Petrol,Dealer,Manual,0
Hyundai i20 Asta,2013,5.25,8.11,61500,Petrol,Dealer,Manual,0
Maruti Swift Dzire,2016,6.0,7.64,150000,Diesel,Individual,Manual,0
Hyundai Xcent 1.2,2016,5.65,6.04,72000,Petrol,Dealer,Automatic,0
Maruti Alto LX,2008,1.2,3.46,68000,Petrol,Dealer,Manual,2
Hyundai i20 1.4,2017,7.25,7.64,110000,Diesel,Individual,Manual,0
Maruti Wagon R,2009,1.85,4.15,77000,Petrol,Dealer,Manual,1
Tata Manza Aura,2010,2.0,6.3,100000,Diesel,Individual,Manual,1
Maruti Swift VXI,2019,6.15,6.66,10000,Petrol,Individual,Manual,0
Maruti Eeco 7,2016,2.7,3.75,100000,Petrol,Individual,Manual,2
Maruti Baleno Zeta,2018,6.1,7.23,35000,Petrol,Individual,Manual,0
Mahindra Scorpio VLX,2014,6.25,13.42,70000,Diesel,Individual,Automatic,1
Ford Freestyle Titanium,2020,4.0,7.77,5000,Petrol,Individual,Manual,1
Hyundai Verna VTVT,2017,8.66,9.39,37800,Petrol,Individual,Manual,0
Volkswagen Passat 1.8,2010,7.0,9.4,114000,Petrol,Individual,Manual,0
Tata Indica Vista,2010,3.0,4.08,48000,Petrol,Individual,Manual,0
Mahindra XUV500 W11,2019,17.0,13.64,32000,Diesel,Individual,Manual,0
Tata Indigo CS,2016,3.75,5.7,100000,Diesel,Individual,Manual,0
